host, ip, mac, "os"
fac-web2.Stanford.EDU, 171.64.144.190, 00:14:22:FE:B4:9A, "Linux 2.6.9 - 2.6.15 (x86) (100%)"
famis-sunet.Stanford.EDU, 171.64.144.191, 00:50:56:AE:00:42, ""
maps-secure.Stanford.EDU, 171.64.144.192, 00:50:56:AE:00:42, ""
basemap.Stanford.EDU, 171.64.144.193, 00:50:56:AE:00:42, ""
pagegate.Stanford.EDU, 171.64.144.194, 00:50:56:AE:00:42, ""
fac-wireless.Stanford.EDU, 171.64.144.195, 00:14:22:FE:B4:9A, "Linux 2.6.9 - 2.6.15 (x86) (100%)"
facilities-ssl.Stanford.EDU, 171.64.144.196, 00:50:56:AE:00:42, ""
pmplus.Stanford.EDU, 171.64.144.197, 00:50:56:AE:00:42, ""
fac-netbackup2.Stanford.EDU, 171.64.144.198, 00:1E:C9:CD:0C:DD, ""
lbre-routing.Stanford.EDU, 171.64.144.199, 00:50:56:AE:00:42, "Linux 2.6.22 (90%) *OR* Linux 2.6.24 (88%) *OR* Vodavi XTS-IP PBX (88%) *OR* Linux 2.6.13 - 2.6.24 (88%) *OR* Linux 2.6.22 - 2.6.23 (88%) *OR* Linux 2.4.20 (Red Hat 7.2) (87%) *OR* Linux 2.6.17 - 2.6.23 (87%) *OR* Linux 2.6.18 - 2.6.24 (87%) *OR* Linux 2.6.21 (Arch Linux 0.8, x86) (87%) *OR* Linux 2.6.17 - 2.6.21 (87%)"
lbre-sql-1.Stanford.EDU, 171.64.144.204, 00:50:56:AE:00:09, "Microsoft Windows Vista (98%) *OR* Microsoft Windows Vista Home Basic (98%) *OR* Microsoft Windows Vista Home Premium (93%) *OR* Microsoft Windows Vista Enterprise (89%)"
fac-4d2.Stanford.EDU, 171.64.144.205, 00:0B:DB:E2:AA:6C, "Microsoft Windows Server 2003 SP1 or SP2 (100%)"
lbre-ddomain.Stanford.EDU, 171.64.144.206, 00:15:17:56:5B:E0, ""
lbre-ddgateway.Stanford.EDU, 171.64.144.207, 00:50:56:AD:33:83, "Linux 2.6.17 - 2.6.25 (100%)"
fac-docmanage.Stanford.EDU, 171.64.144.208, 00:13:72:66:E5:C0, "Microsoft Windows Server 2003 SP1 or SP2 (100%)"
util-fmserver.Stanford.EDU, 171.64.144.209, 00:50:56:AD:4C:2F, "Microsoft Windows Server 2003 SP1 or SP2 (100%)"
